Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,3,"160,0","16,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0","26,0","0,0","5,0","22,0","0,0","0,0","0,0","8,0","28,0","11,0","0,0","30,0",0.0,0.0,3.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,3,"104,0","28,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","28,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","18,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,4,"178,0","0,0","0,0","0,0","14,0","2,0","0,0","0,0","0,0","0,0","19,0","25,0","10,0","8,0","9,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",65.0,26.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,4,"20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,5,"133,0","2,0","0,0","19,0","32,0","38,0","0,0","0,0","0,0","0,0","0,0","7,0","0,0","0,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",23.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,5,"27,0","0,0","0,0","0,0","0,0","0,0","4,0","18,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,6,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,6,"10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,7,"5,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,7,"44,0","0,0","44,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,10,"5,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2021,12,"7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","4,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2021,12,"32,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,17.0,15.7
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,1,"185,0","0,0","10,0","12,0","0,0","0,0","22,0","8,0","0,0","0,0","0,0","3,0","46,0","0,0","20,0","8,0","3,0","2,0","8,0","9,0","0,0","0,0","0,0","0,0","0,0","9,0","0,0","9,0","14,0",0.0,0.0,2.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,1,"159,0","0,0","0,0","0,0","0,0","0,0","54,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","24,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","38,0","38,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,2,"3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,2,"5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0",,,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,3,"269,0","0,0","0,0","0,0","0,0","0,0","7,0","17,0","0,0","0,0","5,0","13,0","29,0","7,0","4,0","15,0","7,0","3,0","3,0","0,0","0,0","8,0","54,0","16,0","10,0","25,0","2,0","0,0","15,0",0.0,29.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,3,"101,0","0,0","0,0","0,0","0,0","0,0","15,0","7,0","0,0","0,0","0,0","14,0","0,0","9,0","0,0","3,0","0,0","0,0","0,0","0,0","35,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","13,0",0.0,2.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,4,"138,0","0,0","8,0","0,0","14,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","3,0","15,0","0,0","0,0","33,0","0,0",0.0,26.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,4,"153,0","15,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,0","31,0","26,0","0,0","0,0","0,0","0,0","26,0","0,0","0,0","0,0","0,0","0,0","0,0","36,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,5,"160,0","14,0","0,0","0,0","0,0","9,0","0,0","0,0","20,0","9,0","0,0","0,0","26,0","7,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","6,0","9,0","0,0","2,0","7,0","0,0","0,0","42,0",0.0,0.0,3.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,5,"66,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,0","0,0","0,0","0,0","28,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,6,"30,0","0,0","4,0","5,0","3,0","0,0","2,0","0,0","0,0","5,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,6,"51,0","0,0","13,0","26,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,7,"28,0","0,0","0,0","9,0","1,0","4,0","0,0","4,0","5,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,8,"36,0","4,0","0,0","18,0","0,0","14,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,11,"14,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,11,"85,0","0,0","0,0","0,0","20,0","40,0","12,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2022,12,"83,0","0,0","14,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","24,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","27,0","2,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2022,12,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,1,"50,0","0,0","15,0","16,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","0,0","14,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,1,"85,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,0","0,0","15,0","24,0","14,0","0,0","0,0","10,0","4,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,2,"106,0","0,0","0,0","0,0","0,0","0,0","7,0","2,0","0,0","0,0","0,0","10,0","0,0","0,0","11,0","0,0","14,0","0,0","0,0","0,0","0,0","3,0","0,0","21,0","24,0","7,0","0,0","0,0","7,0",,,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,2,"35,0","8,0","0,0","0,0","0,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,0","0,0","0,0","0,0","0,0","0,0",,,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,3,"307,0","0,0","0,0","62,0","14,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","24,0","0,0","19,0","0,0","0,0","19,0","0,0","72,0","0,0","8,0","9,0","0,0","0,0","0,0","0,0","25,0","8,0",5.0,28.0,11.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,3,"78,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","10,0","7,0","13,0","0,0","0,0","0,0","16,0","0,0","0,0","0,0","9,0","0,0","0,0","18,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,4,"118,0","0,0","3,0","0,0","28,0","26,0","0,0","0,0","8,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","1,0","0,0","9,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0",14.0,5.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,4,"289,0","0,0","205,0","0,0","11,0","13,0","0,0","0,0","21,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,5,"42,0","2,0","0,0","0,0","8,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","18,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","6,0",2.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,5,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,6,"47,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0","0,0","0,0","6,0","3,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,6,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,7,"40,0","12,0","0,0","0,0","0,0","0,0","0,0","28,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Alto Santo,LOGRADOURO,"-5,40625","-38,185194444444",2023,12,"162,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","64,0","60,0","4,0","22,0","0,0","0,0","0,0","0,0","12,0","0,0",0.0,0.0,0.0
Independência,LOGRADOURO,"-5,6210833333333","-40,295166666667",2023,12,"72,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","32,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
